Title,Size,date added to alvro,type
Cross Angel Tenshi to Ryuu no Rondo tr. [PCSG00597] (v01.00) .rar,788.13 MB,2017-02-15 19:02,Only VPK 
Crypt of the NecroDancer [PCSE00806] (v01.00) .rar,1.09 GB,2017-02-17 7:02,Only VPK 
Crypt of the NecroDancer.rar,846.74 MB,2017-02-11 13:02,MaiDump
Dai-3-Ji Super Robot Taisen Z Jigoku-hen (Japan) (PSN).zip,1.74 GB,2019-01-14 12:01,PSN VPK
Dai-3-Ji Super Robot Taisen Z Jigoku-hen [PCSG00264] (v01.00) .rar,1.74 GB,2017-02-15 19:02,Only VPK 
Dai-3-Ji Super Robot Taisen Z Jigoku-hen.rar,1.75 GB,2017-02-11 19:02,MaiDump
Dai-3-Ji Super Robot Taisen Z Tengoku-hen [PCSG00494] (v01.00) .rar,2.62 GB,2017-02-15 19:02,Only VPK 
Dai-3-Ji Super Robot Taisen Z Tengoku-hen.rar,2.63 GB,2017-02-11 19:02,MaiDump
Daitoshokan no Hitsujikai Library Party.rar,2.47 GB,2017-02-11 19:02,MaiDump
Damascus Gear Operation Tokyo [PCSE00518] (v01.00) .rar,655.51 MB,2017-02-17 7:02,Only VPK 
Damascus Gear Operation Tokyo.rar,269.30 MB,2017-02-11 19:02,MaiDump
Dangan-Ronpa 1-2 Reload [PCSG00202] (v01.00) .rar,3.02 GB,2017-02-16 10:02,Only VPK 
Danganronpa - Trigger Happy Havoc (USA).zip,1.24 GB,2019-01-14 12:01,VPK noIntro
Danganronpa 2 - Goodbye Despair (USA).zip,1.47 GB,2019-01-14 12:01,VPK noIntro
Danganronpa 2 Goodbye Despair.rar,1.47 GB,2017-02-11 19:02,MaiDump
Danganronpa Another Episode - Ultra Despair Girls (Europe).zip,2.20 GB,2019-01-14 12:01,VPK noIntro
Danganronpa Another Episode Ultra Despair Girls.rar,3.92 GB,2017-02-11 20:02,MaiDump
Danganronpa Trigger Happy Havoc [PCSE00261] (v01.00) .rar,1.29 GB,2017-02-17 7:02,Only VPK 
Danganronpa Trigger Happy Havoc.rar,2.50 GB,2017-02-11 19:02,MaiDump
Danganronpa V3 - Killing Harmony (USA).zip,2.59 GB,2019-01-14 12:01,VPK noIntro
Danganronpa2 Goodbye Despair [PCSE00399] (v01.00) .rar,1.54 GB,2017-02-17 7:02,Only VPK 
Dariusburst Chronicle Saviours.rar,869.67 MB,2017-02-11 19:02,MaiDump
Date-A-Live Twin Edition Rio Reincarnation [PCSG00599] (v01.00) .rar,2.69 GB,2017-02-15 19:02,Only VPK 
Date-A-Live Twin Edition Rio Reincarnation.rar,2.69 GB,2017-02-11 20:02,MaiDump
Dead Nation [PCSA00151] (v01.00) .rar,459.43 MB,2017-02-17 7:02,Only VPK 
Dead Nation.rar,459.17 MB,2017-02-11 19:02,MaiDump
Dead or Alive - Xtreme 3 - Venus (Asia) (En).zip,1.63 GB,2019-01-14 12:01,VPK noIntro
"Dead or Alive 5 Plus (Europe) (En,Ja,Fr,De,Es,It).zip",2.26 GB,2019-01-14 12:01,VPK noIntro
DEAD OR ALIVE 5 PLUS [PCSE00235] (v01.00) .rar,2.55 GB,2017-02-17 7:02,Only VPK 
Dead or Alive Xtreme 3 Venus.rar,2.83 GB,2017-02-11 20:02,MaiDump
"Deception IV - Blood Ties (USA) (En,Ja,Fr,De).zip",601.10 MB,2019-01-14 12:01,VPK noIntro
Deception IV Blood Ties [PCSE00401] (v01.00) .rar,677.67 MB,2017-02-17 7:02,Only VPK 
Deception IV Blood Ties.rar,1.17 GB,2017-02-11 20:02,MaiDump
Deception IV The Nightmare Princess.rar,1.25 GB,2017-02-11 20:02,MaiDump
Deemo Last Recital.rar,1.29 GB,2017-02-11 20:02,MaiDump
"Demon Gaze (Europe) (En,Ja).zip",512.50 MB,2019-01-14 12:01,VPK noIntro
Demon Gaze [PCSE00358] (v01.00) .rar,465.87 MB,2017-02-17 7:02,Only VPK 
Demon Gaze II (USA).zip,856.17 MB,2019-01-14 12:01,VPK noIntro
Demon Gaze II.rar,803.79 MB,2017-02-11 20:02,MaiDump
Demon Gaze.rar,462.58 MB,2017-02-11 20:02,MaiDump
Dengeki Bunko - Fighting Climax (USA).zip,786.40 MB,2019-01-14 12:01,VPK noIntro
Dengeki Bunko Fighting Climax [PCSE00639] (v01.00) .rar,787.57 MB,2017-02-19 6:02,VPK patched
Dengeki Bunko Fighting Climax Ignition [PCSG00758] (v01.00) .rar,999.95 MB,2017-02-19 6:02,VPK patched
DIGIMON STORY CYBER SLEUTH [PCSE00755] (v01.00) .rar,1.34 GB,2017-02-17 7:02,Only VPK 
Digimon Story Cyber Sleuth.rar,1.38 GB,2017-02-11 20:02,MaiDump
Digimon World Next Order.rar,1.61 GB,2017-02-11 20:02,MaiDump
"Disgaea 3 - Absence of Detention (USA) (En,Ja).zip",1.57 GB,2019-01-14 12:01,VPK noIntro
Disgaea 3 Absence of Detention [PCSB00098] (v01.00) .rar,1.67 GB,2017-02-15 19:02,Only VPK 
Disgaea 3 Absence of Detention.rar,1.66 GB,2017-02-11 20:02,MaiDump
"Disgaea 4 - A Promise Revisited (USA) (En,Ja).zip",2.04 GB,2019-01-14 12:01,VPK noIntro
Disgaea 4 A Promise Revisited [PCSE00360] (v01.00) .rar,2.89 GB,2017-02-17 7:02,Only VPK 
Disgaea 4 A Promise Revisited.rar,2.03 GB,2017-02-11 20:02,MaiDump
"Disney Epic Mickey 2 - The Power of Two (Europe) (En,Fr,De,It,Nl).zip",2.94 GB,2019-01-14 12:01,VPK noIntro
"Disney Epic Mickey 2 - The Power of Two (Europe) (En,Pl,Ru,Tr,Cs,Hu).zip",2.95 GB,2019-01-14 12:01,VPK noIntro
Disney Epic Mickey 2 The Power of Two (PCSA-00110) [PCSA00110] (v01.00) .rar,2.74 GB,2017-02-16 10:02,Only VPK 
Disney Infinity - 2.0 Edition - Marvel Super Heroes (USA).zip,3.07 GB,2019-01-14 12:01,VPK noIntro
Disney Infinity 2.0 Play Without Limits [PCSB00698] (v01.00) .rar,3.06 GB,2017-02-16 10:02,Only VPK 
Divekick (US-EN).rar,485.57 MB,2017-02-14 21:02,Only VPK 
Divekick [PCSE00281] (v01.00) .rar,485.57 MB,2017-02-15 19:02,Only VPK 
DJMax Technika Tune (USA).zip,3 GB,2019-01-14 12:01,VPK noIntro
DJMAX TECHNIKA TUNE [PCSE00208] (v01.00) .rar,3 GB,2017-02-15 19:02,Only VPK 
