Title,Size,date added to alvro,type
Interactive Multi-Game Demo Disc Version 32 (USA).7z,1.05 GB,2017-05-23 11:05,GAMECUBE USA
Interactive Multi-Game Demo Disc Version 33 (USA).7z,996.50 MB,2017-05-23 11:05,GAMECUBE USA
Interactive Multi-Game Demo Disc Version 34 (USA).7z,1.04 GB,2017-05-23 11:05,GAMECUBE USA
Interactive Multi-Game Demo Disc Version 35 (USA).7z,1.08 GB,2017-05-23 11:05,GAMECUBE USA
Interactive Multi-Game Demo Disc Version 7 (USA).7z,1013.74 MB,2017-05-23 11:05,GAMECUBE USA
Interactive Multi-Game Demo Disc Version 8 (USA).7z,1 GB,2017-05-23 11:05,GAMECUBE USA
Interactive Multi-Game Demo Disc Version 9 (USA).7z,986.53 MB,2017-05-23 11:05,GAMECUBE USA
"Italian Job, The (USA).7z",1.32 GB,2017-05-23 11:05,GAMECUBE USA
Jeremy McGrath Supercross World (USA).7z,1.14 GB,2017-05-23 11:05,GAMECUBE USA
Judge Dredd - Dredd vs. Death (USA).7z,1018.55 MB,2017-05-23 11:05,GAMECUBE USA
Kao the Kangaroo - Round 2 (USA).7z,203.14 MB,2017-05-23 11:05,GAMECUBE USA
Karaoke Revolution Party (USA).7z,1.26 GB,2017-05-23 11:05,GAMECUBE USA
Kelly Slater_-_s Pro Surfer (USA).7z,1.15 GB,2017-05-23 11:05,GAMECUBE USA
Killer 7 (USA) (Disc 1).7z,985.57 MB,2017-05-23 11:05,GAMECUBE USA
Killer 7 (USA) (Disc 2).7z,1.04 GB,2017-05-23 11:05,GAMECUBE USA
King Arthur (USA).7z,1 GB,2017-05-23 11:05,GAMECUBE USA
Kirby Air Ride (USA).7z,1.27 GB,2017-05-23 11:05,GAMECUBE USA
Knockout Kings 2003 (USA).7z,1.16 GB,2017-05-23 11:05,GAMECUBE USA
LEGO Star Wars - The Video Game (USA).7z,916.63 MB,2017-05-23 11:05,GAMECUBE USA
LEGO Star Wars II - The Original Trilogy (USA).7z,942.61 MB,2017-05-23 11:05,GAMECUBE USA
Lara Croft Tomb Raider - Legend (USA).7z,1.23 GB,2017-05-23 11:05,GAMECUBE USA
"Legend of Spyro, The - A New Beginning (USA).7z",1.09 GB,2017-05-23 11:05,GAMECUBE USA
"Legend of Zelda, The - Collector_-_s Edition (USA).7z",885.25 MB,2017-05-23 11:05,GAMECUBE USA
"Legend of Zelda, The - Four Swords Adventures (USA).7z",1.28 GB,2017-05-23 11:05,GAMECUBE USA
"Legend of Zelda, The - Ocarina of Time & Master Quest (USA).7z",1.07 GB,2017-05-23 11:05,GAMECUBE USA
"Legend of Zelda, The - The Wind Waker (USA).7z",1.06 GB,2017-05-23 11:05,GAMECUBE USA
"Legend of Zelda, The - Twilight Princess (USA).7z",1.08 GB,2017-05-23 11:05,GAMECUBE USA
Legends of Wrestling (USA).7z,1.13 GB,2017-05-23 11:05,GAMECUBE USA
Legends of Wrestling II (USA).7z,1.07 GB,2017-05-23 11:05,GAMECUBE USA
Lemony Snicket_-_s A Series of Unfortunate Events (USA).7z,1.02 GB,2017-05-23 11:05,GAMECUBE USA
Looney Tunes - Back in Action (USA).7z,942.47 MB,2017-05-23 11:05,GAMECUBE USA
"Lord of the Rings, The - The Return of the King (USA).7z",1.18 GB,2017-05-23 11:05,GAMECUBE USA
"Lord of the Rings, The - The Third Age (USA) (Disc 1).7z",1.18 GB,2017-05-23 11:05,GAMECUBE USA
