Title,Size,date added to alvro,type
Animated Jigsaws Japanese Women [01002BB00C01E000][v0].nsp,330.64 MB,2019-01-11 11:01,NSW NSP Games
Animated Jigsaws Wild Animals [01004A200C236000][v0].nsp,409.49 MB,2019-01-19 12:01,NSW NSP Games
Ankh Guardian - Treasure of the Demon's Temple [010055500CCD2000][v0].nsp,407.08 MB,2019-07-06 20:07,NSW NSP Games
Anode [01009E600D78C000][v0].nsp,234.04 MB,2019-08-21 19:08,NSW NSP Games
Anodyne eSHOP [v0].nsp,76.72 MB,2019-03-01 19:03,NSW NSP Games
Anodyne eSHOP [v0].nsp,76.72 MB,2019-03-01 10:03,NSW NSP Games
Another Lost Phone Laura's Story.nsp.zip,98.47 MB,2019-01-11 12:01,NSW NSP Games
Another Sight [01001A900D312000][v0].nsp,3.04 GB,2019-07-01 13:07,NSW NSP Games
Another World [01003C300AAAE000][v0].nsp,162.50 MB,2019-01-11 11:01,NSW NSP Games
Antiquia Lost [0100016007154000][v0].nsp,312.78 MB,2019-01-11 11:01,NSW NSP Games
Ape Out Eshop [01005B100C268000][v0].nsp,1.84 GB,2019-03-02 10:03,NSW NSP Games
Aperion Cyberstorm [010051C003A08000][v0].nsp,417.11 MB,2019-01-11 11:01,NSW NSP Games
Apocalipsis Wormwood Edition [01008FC00C5BC000][v0].nsp,3.67 GB,2019-01-15 17:01,NSW NSP Games
Apocryph eSHOP [010045D009EFC000][v0].nsp,1.27 GB,2019-03-23 15:03,NSW NSP Games
Aqua Moto Racing Utopia [0100D0D00516A000][v0].nsp,5.45 GB,2019-01-11 11:01,NSW NSP Games
Aqua TV [01008ED00B916000][v0].nsp,213.64 MB,2019-01-11 11:01,NSW NSP Games
Arcade Archives 10-Yard Fight [0100BE80097FA000][v0].nsp,71.39 MB,2019-01-11 11:01,NSW NSP Games
